sensorType,deploymentType,eventName,collectionCondition,housingType,sensorBrand,statusId,timeStamp,site_no,latitude,longitude,siteDescription,networkNames,stateName,countyName,siteWaterbody,siteHDatum,sitePriorityName,siteZone,siteHCollectMethod,sitePermHousing,instrument_id,sensor_type_id,deployment_type_id,location_description,serial_number,housing_serial_number,interval,site_id,event_id,inst_collection_id,housing_type_id,sensor_brand_id,vented,last_updated,last_updated_by,instr_collection_conditions,sensor_brand,sensor_type,housing_type,deployment_type,instrument_status,data_files,files,event,site,Links
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,2,5/21/13 20:21,FLBRE03160,27.9215,-80.51941,Fisherman's Landing Park,South Atlantic,FL,Brevard County,Indian River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,22,1,1,"ON FIRST PILING OF PIER 1, CLOSEST TO THE PARKING LOT ON THE LEFT SIDE.",102382,,30,3160,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,2,5/21/13 23:00,FLBRE03152,28.35849,-80.67858,"George L. Reynolds Boat Ramp, 1.3 mi east of intersection of SR3 and SR 520, turn North on Kiwanis Island Park Rd, ramp is 500 ft ahead on left
2 wooden docks w/ multiple plings at boat ramp, Sykes Creek",South Atlantic,FL,Brevard County,Sykes Creek,WGS84 (from Digital Map),,,Map (digital or paper),Yes,23,1,1,same location as another,2238123,,30,3152,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,2,5/21/13 23:10,FLIND03149,27.85508,-80.45208,"Sebastian Inlet State Park,",South Atlantic,FL,Indian River County,Sebastian Inlet intracoastal,NAD83,,,Handheld GPS,Yes,24,1,1,"EAST SIDE OF FISHING DOCK, SECOND CROSS MEMBER FROM SIDEWALK 1",1028477,,30,3149,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,Wilma,Brackish Water,,,2,10/25/05 0:00,FLCOL03148,26.04606,-81.70845,Hendersen Creek at KOA Campground boat ramp.,Gulf of Mexico,FL,Collier County,Hendersen Creek,NAD83,,,Map (digital or paper),Yes,25,1,1,Strapped to landward-most wooden piling on upstream side of boat ramp. Angle iron at 1.8 ft above LS,911334,,30,3148,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,1,10/5/16 18:00,FLIND03149,27.85508,-80.45208,"Sebastian Inlet State Park,",South Atlantic,FL,Indian River County,Sebastian Inlet intracoastal,NAD83,,,Handheld GPS,Yes,26,1,1,"EAST SIDE OF FISHING DOCK, SECOND CROSS MEMBER FROM SIDEWALK",1028477,,30,3149,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,,2,5/21/13 23:48,FLBRE03151,28.355,-80.72217,Lee Wenner Park,South Atlantic,FL,Brevard County,Indian River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,27,1,1,,1028496,WSH-13832,30,3151,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,,,Hobo,1,10/5/16 18:00,FLBRE03152,28.35849,-80.67858,"George L. Reynolds Boat Ramp, 1.3 mi east of intersection of SR3 and SR 520, turn North on Kiwanis Island Park Rd, ramp is 500 ft ahead on left
2 wooden docks w/ multiple plings at boat ramp, Sykes Creek",South Atlantic,FL,Brevard County,Sykes Creek,WGS84 (from Digital Map),,,Map (digital or paper),Yes,28,1,1,,2238123,,30,3152,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,Saline Water,,,2,5/21/13 22:10,FLBRE03153,28.3572,-80.62858,Constitution Bicentennial Boat Ramp,South Atlantic,FL,Brevard County,Banana River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,29,1,1,on dock,2238139,WSH 13840,30,3153,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,Saline Water,,,2,5/21/13 19:40,FLBRE03154,28.20669,-80.66137,Boat Ramp at POW/MIA Park,South Atlantic,FL,Brevard County,Indian River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,30,1,1,on dock @ boat ramp,2238154,WSH 13815,30,3154,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Pressure Transducer,Water Level,FEMA 2013 exercise,Saline Water,,,2,5/21/13 18:02,FLBRE03157,28.07962,-80.59973,"Claude Edge Front St Park, on Front St. south of US 192 before the bridge if traveling East (heavy road construction, some roads closed)
Many wooden pilings at boat ramp",South Atlantic,FL,Brevard County,Indian River,WGS84 (from Digital Map),,,Map (digital or paper),Yes,32,1,1,On piling of dock.,1028500,WSH 13824,30,3157,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file],,,
Rapid Deployment Gage,,2019 Hurricane Dorian,Not Recorded,Quick Deploy RDG,USGS Homemade,2,9/5/19 14:00,FLBAY03331,30.18783,-85.74167,"St. Andrews Bay near Panama City, FL",Gulf of Mexico,FL,Bay County,St. Andrew Bay,WGS84 (from Digital Map),Priority 1 (network or time critical),0,Map (digital or paper),Yes,9662,5,,,3.01116E+14,NA,,3331,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/6/19 18:27,FLIND03149,27.85508,-80.45208,"Sebastian Inlet State Park,",South Atlantic,FL,Indian River County,Sebastian Inlet intracoastal,NAD83,,,Handheld GPS,Yes,9663,1,1,On support board for fishing pier second piling from land. Next to threaded bolt used as MP at top of housing.,20402266,,30,3149,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Rapid Deployment Gage,,2019 Hurricane Dorian,Not Recorded,,USGS Homemade,2,9/5/19 11:45,FLOKA23273,30.39484722,-86.51557222,"East Pass to Choctwhatchee Bay at Destin, FL",Gulf of Mexico,FL,Okaloosa County,Gulf of Mexico,NAD83,,,Map (digital or paper),Yes,9664,5,,,3.02341E+15,NA,,23273,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/7/19 1:59,FLVOL03141,29.14647222,-80.96497222,Sunglow Pier,South Atlantic,FL,Volusia County,Atlantic Ocean,WGS84 (from Digital Map),,0,Map (digital or paper),Yes,9665,1,3,Light pole closest to highway in Crabby Joes parking lot.,2238121,,30,3141,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/6/19 13:59,FLVOL03141,29.14647222,-80.96497222,Sunglow Pier,South Atlantic,FL,Volusia County,Atlantic Ocean,WGS84 (from Digital Map),,0,Map (digital or paper),Yes,9666,1,1,"NW side of wooden pilings below
Crabby Joe's",20370189,,30,3141,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Rapid Deployment Gage,,2019 Hurricane Dorian,,,USGS Homemade,1,8/29/19 0:00,FLLEE20980,26.65485,-81.87183,Edison bridge RDG,Gulf of Mexico,FL,Lee County,Caloosahatchee River,NAD83,,,Map (digital or paper),Yes,9667,5,,,2293202,,,20980,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/5/19 17:15,FLPAL03560,26.46539,-80.05819,Delray Beach at life guard stand,South Atlantic,FL,Palm Beach County,Atlantic Ocean,NAD83,,0,Handheld GPS,No,9668,1,3,In parking lot on Thomas Street in front of 10th parking spot west of N Ocean Blvd.  It is bolted to the back side of the guard rail I beam with a 1/2 inch bolt.,20402258,,30,3560,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/6/19 17:47,FLIND03751,27.76322,-80.39681,Wabasso Beach Park,"Coastal Change Hazards (CCH), South Atlantic, Transects",FL,Indian River County,Atlantic Ocean,NAD83,,0,Handheld GPS,Yes,9669,1,3,"On north side of NW post on shelter. N 27   45' 48.9""; W 080  23' 49.8""",20402275,,30,3751,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Air,,Hobo,2,9/6/19 17:47,FLIND03751,27.76322,-80.39681,Wabasso Beach Park,"Coastal Change Hazards (CCH), South Atlantic, Transects",FL,Indian River County,Atlantic Ocean,NAD83,,0,Handheld GPS,Yes,9670,1,1,"Installed on walkway piling, below previous lag bolt, named RP1.",20402267,,30,3751,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/5/19 18:11,FLDUV03110,30.42075,-81.42083333,Fort George River/Inlet,South Atlantic,FL,Duval County,Fort George River,WGS84 (from Digital Map),,0,Map (digital or paper),Yes,9671,1,3,"West side of sabal palm tree 6ft above land surface, 20ft west of pavillion.",20370192,,30,3110,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Brackish Water,HIF Stainless Steel,Hobo,2,9/5/19 18:11,FLDUV03110,30.42075,-81.42083333,Fort George River/Inlet,South Atlantic,FL,Duval County,Fort George River,WGS84 (from Digital Map),,0,Map (digital or paper),Yes,9672,1,1,First wooden piling for walkup to wooden dock,203702222,,30,3110,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Brackish Water,HIF Stainless Steel,Hobo,2,9/5/19 18:30,FLMAR03742,27.15397,-80.2,Canal Bridge,South Atlantic,FL,Martin County,Intracostal Waterway Canal,NAD83,,0,Handheld GPS,No,9673,1,1,,20402278,,30,3742,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/6/19 15:35,FLIND03750,27.64992,-80.35428,Humiston Park,South Atlantic,FL,Indian River County,Atlantic Ocean,NAD83,,0,Handheld GPS,Yes,9674,1,1,,20402265,,30,3750,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/5/19 18:30,FLBRE03164,28.73293333,-80.75698333,Bairs Cove Boat Ramp,South Atlantic,FL,Brevard County,Haulover Canal,WGS84 (from Digital Map),,0,Map (digital or paper),Yes,9675,1,3,"on light post for boat ramp 2 ft next to attention boaters sign, ~7 ft from N edge of boat ramp ~ 12 ft above land surface~ 10 ft from waters edge",10238263,,30,3164,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Saline Water,HIF Stainless Steel,Hobo,2,9/5/19 16:05,FLVOL03147,28.85843333,-80.77526667,Canaveral National Seashore,South Atlantic,FL,Volusia County,Atlantic Ocean,WGS84 (from Digital Map),,0,Map (digital or paper),Yes,9676,1,1,Northern most dock support piling facing the water.  On the dock to the beach of Apollo parking area.,20370196,,30,3147,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/6/19 11:05,FLSTJ17848,29.88587,-81.28574,St. Augustine Yacht Club,South Atlantic,FL,St. Johns County,Salt Run,WGS84 (from Digital Map),,,Map (digital or paper),No,9677,1,3,2nd deck column closest to water of the St. Augustine Yacht Club deck.  Attached with orange ratchet straps.,20370208,,30,17848,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Air,,Hobo,2,9/6/19 11:05,FLSTJ17848,29.88587,-81.28574,St. Augustine Yacht Club,South Atlantic,FL,St. Johns County,Salt Run,WGS84 (from Digital Map),,,Map (digital or paper),No,9678,1,1,Second 4x4 wooden handrail post on the north side of the boat ramp.,12028213,,30,17848,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/6/19 14:05,FLDUV03114,30.28758333,-81.42072222,Beach Boulevard,South Atlantic,FL,Duval County,Pablo Creek,WGS84 (from Digital Map),,0,Map (digital or paper),No,9679,1,1,CABLE CROSSING SIGN IN SOUTHERN MOST CORNER AT CURVE IN ROAD,10238276,13904,30,3114,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/5/19 12:15,FLVOL03145,29.03143333,-80.9159,New Smyrna Beach Fishing Pier,South Atlantic,FL,Volusia County,Indian River,WGS84 (from Digital Map),,0,Map (digital or paper),Yes,9680,1,3,Sensor bolted to palm tree by fishing pier,20370227,,30,3145,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/6/19 14:44,FLSTL03726,27.53839,-80.31608,Avalon Park,South Atlantic,FL,St. Lucie County,Atlantic Ocean,NAD83,,,Handheld GPS,No,9681,1,1,New sensor location E face of 4x6 just south of trail to beach from parking lot. North of trash bins and park hour signs.,20402273,,30,3726,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Air,,Hobo,2,9/6/19 13:08,FLSTL03731,27.52748453,-80.34793117,DJ Wilcox Preserve,South Atlantic,FL,St. Lucie County,Intercoastal,NAD83,,0,Phone/Car GPS,No,9682,1,1,"mounted on south side of third piling
from shore, just above the water level",20402268,,30,3731,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/6/19 12:15,FLSTJ03125,29.76244444,-81.25388889,Green Road Boat Ramp,South Atlantic,FL,St. Johns County,Matanzas River,WGS84 (from Digital Map),,0,Map (digital or paper),Yes,9683,1,1,,20370194,,,3125,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Saline Water,HIF Stainless Steel,Hobo,2,9/5/19 15:00,FLVOL21053,28.936216,-80.828691,Canaveral National Seashore,"Transects, South Atlantic, Coastal Change Hazards (CCH)",FL,Volusia County,Atlantic,WGS84 (from Digital Map),,,Map (digital or paper),No,9684,1,1,Sensor is bolted at the bottom of the tallest piling at the southeast corner of the boardwalk under the fishing line recycle container and 1B sign.,20370204,,30,21053,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Brackish Water,HIF Stainless Steel,Hobo,2,9/5/19 21:10,FLMAR03740,27.03767,-80.11128,"Hobe Sound Nature Center parking lot, down to beach.",South Atlantic,FL,Martin County,Atlantic Intracoastal Waterway,NAD83,,0,Handheld GPS,Yes,9685,1,1,"Hobe Sound Nature Center parking lot, down to beach.  Down the Great Florida Birding trail on first pier piling on beach. On south side of pier.",20402279,,30,3740,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/5/19 21:10,FLMAR03740,27.03767,-80.11128,"Hobe Sound Nature Center parking lot, down to beach.",South Atlantic,FL,Martin County,Atlantic Intracoastal Waterway,NAD83,,0,Handheld GPS,Yes,9686,1,3,In 4x4 with flag holder at entrance of Great Florida Birding Trail,20402283,,30,3740,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Rapid Deployment Gage,,2019 Hurricane Dorian,Saline Water,,Unknown,2,9/6/19 18:57,FLBRO24947,26.26141,-80.08322,Hillsboro Inlet Bridge,South Atlantic,FL,Broward County,Atlantic Ocean,NAD83,Priority 1 (network or time critical),,Map (digital or paper),Yes,9687,5,,,TBD,,,24947,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/9/19 17:30,FLPAL03575,26.50494,-80.05131,"Gulfstream Park, FLec 11 - Site selected by CCH. Just to the north of the gulf stream park beach access stairway.","South Atlantic, Coastal Change Hazards (CCH)",FL,Palm Beach County,Atlantic Ocean,NAD83,,0,Handheld GPS,Yes,9688,1,1,"Just north of Gulf Stream Park Beach access stairway.  Near life guard tower #23; Wooden post on the north side of stairway # 05,  Sensor is on the west side of the post.",20402253,,30,3575,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/5/19 18:00,FLPAL03554,26.34976111,-80.07571667,Silver Palm Park boat ramp - on last wooden piling at end of concrete walkway south of the boat ramp,South Atlantic,FL,Palm Beach County,Intercoastal,WGS84 (from Digital Map),,0,Map (digital or paper),Yes,9689,1,1,End of boat ramp.  Last wooden piling on end of concrete walkway south of boat ramp.,20402263,,30,3554,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Rapid Deployment Gage,,2019 Hurricane Dorian,Brackish Water,,USGS Homemade,2,9/6/19 12:35,GACAM21274,30.75383,-81.583504,"304514081350101-Burrells Creek at Highway 40 near St. Mary's, GA",South Atlantic,GA,Camden County,Burrells Creek,NAD83,,,Handheld GPS,No,9690,5,,"Upstream side of Highway 40 bridge in St. Mary's, GA.  Approx 1 ft left of established RP.",1906227,,,21274,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Rapid Deployment Gage,,2019 Hurricane Dorian,Brackish Water,,USGS Homemade,2,9/6/19 15:00,GACAM29024,30.760011,-81.525119,"NORTH RIVER AT N RIVER CAUSEWAY AT ST MARYS, GA",,GA,Camden County,North River,NAD83,,,Other (Note in Description box),No,9691,5,,Downstream side of North River Causeway on North River.  USGS station number: 304536081313001,1904509,,,29024,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/5/19 13:45,FLVOL03146,29.00945,-80.87753333,New Smyrna Beach,South Atlantic,FL,Volusia County,Atlantic Ocean,WGS84 (from Digital Map),,0,Map (digital or paper),Yes,9692,1,1,Beach at 27th Ave. Park. Sensor is on eastern most wood piling that prevents people from driving south on the beach.,20370232,,30,3146,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Brackish Water,Ruston Steel Pipe,Hobo,2,9/7/19 13:01,GAGLY17783,31.088403,-81.479514,Hobo installed below RM at Cedar Creek bridge on Hwy 520 headed out to Jekyll Island. Previously known as SSS-GA-GLY-013WL,,GA,Glynn County,Cedar Creek,local control point,,,Other (Note in Description box),No,9693,1,1,,9858565,,30,17783,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Wave Height,2019 Hurricane Dorian,Air,HIF Stainless Steel,TruBlue,2,9/5/19 14:16,FLPAL03591,26.89281,-80.05683,Juno Beach Pier sign. FLec 16A - Site selected by CCH,"Coastal Change Hazards (CCH), Transects, South Atlantic",FL,Palm Beach County,Atlantic Ocean,NAD83,,0,Handheld GPS,No,9694,1,2,pressure transducer bolted to a wooden post approximately 30 ft south of Juno Beach Pier.,1908941,,0.25,3591,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/6/19 12:14,FLFLA03134,29.47994444,-81.12602778,Flagler Beach Pier,South Atlantic,FL,Flagler County,Atlantic Ocean,WGS84 (from Digital Map),,0,Map (digital or paper),Yes,9695,1,1,"Located in 2nd piling in,110 ft. east of restaurant deck",20370220,,30,3134,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Rapid Deployment Gage,,2019 Hurricane Dorian,Air,Quick Deploy RDG,USGS Homemade,2,9/5/19 15:41,FLSTL21031,27.47178,-80.32504,Microcom GTX RDG attached to northbound bridge rail on eastern side of A1A bridge (N. Causeway) over Intracoastal Waterway,South Atlantic,FL,St. Lucie County,Atlantic Ocean,NAD83,,,Map (digital or paper),No,9696,5,,,NA,,,21031,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/4/19 15:00,FLPIN26264,28.05826,-82.82593,Honeymoon Island State Park,"Coastal Change Hazards (CCH), Gulf of Mexico, Transects",FL,Pinellas County,Gulf of Mexico,WGS84 (from Digital Map),,,Phone/Car GPS,No,9697,1,1,Walkway 300 ft East of West Building. Just East of road leading to beach,20381183,,30,26264,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Barometric Pressure,2019 Hurricane Dorian,Air,HIF Stainless Steel,Hobo,2,9/6/19 12:14,FLFLA03134,29.47994444,-81.12602778,Flagler Beach Pier,South Atlantic,FL,Flagler County,Atlantic Ocean,WGS84 (from Digital Map),,0,Map (digital or paper),Yes,9698,1,3,Located on bench decking north of three covered picnic tables by wheelchair ramp; bracket facing toward road,20370198,,30,3134,,,,,No,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
Pressure Transducer,Water Level,2019 Hurricane Dorian,Saline Water,Ruston Steel Pipe,Hobo,2,9/7/19 14:21,GAGLY17790,31.021017,-81.434792,HOBO sensor attached to the leg of a dock at St Andrews Picnic Area. Previously named SSS-GA-GLY-015WL,,GA,Glynn County,Jekyll Sound,local control point,,,Other (Note in Description box),No,9699,1,1,Attached to the leg of a dock at St. Andrews picnic area.,1059665,,30,17790,,,,,Yes,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.instrument_status],System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.file]
